DC,PUE,Timestamp
Bjumper Lab,2.3,11/1/2021
Bjumper Lab B,2.35,11/2/2021
Bjumper Lab,2.34,11/3/2021
Bjumper Lab,2.36,11/4/2021
Bjumper Lab B,2.25,11/5/2021
Bjumper Lab,2.25,11/6/2021
Bjumper Lab,2.24,11/7/2021
Bjumper Lab,2.23,11/8/2021
Bjumper Lab,2.15,11/9/2021
Bjumper Lab,2.14,11/10/2021
Bjumper Lab,2.14,11/11/2021
Bjumper Lab,2.14,11/12/2021
Bjumper Lab,2.14,11/13/2021
Bjumper Lab,2.13,11/14/2021
Bjumper Lab,2.15,11/15/2021
Bjumper Lab,2.1,11/16/2021
Bjumper Lab,2.05,11/17/2021
Bjumper Lab,2.01,11/18/2021
Bjumper Lab,1.95,11/19/2021
Bjumper Lab,1.96,11/20/2021
Bjumper Lab,1.97,11/21/2021
Bjumper Lab,1.95,11/22/2021
Bjumper Lab,1.92,11/23/2021
Bjumper Lab,1.95,11/24/2021
Bjumper Lab,1.96,11/25/2021
Bjumper Lab,1.95,11/26/2021
Bjumper Lab,1.95,11/27/2021
Bjumper Lab,1.95,11/28/2021
Bjumper Lab,1.95,11/29/2021
Bjumper Lab,1.95,11/30/2021
Bjumper Lab,1.92,12/1/2021
Bjumper Lab,1.8,12/2/2021
Bjumper Lab,1.8,12/3/2021
Bjumper Lab,1.81,12/4/2021
Bjumper Lab,1.82,12/5/2021
Bjumper Lab,1.83,12/6/2021
Bjumper Lab,1.81,12/7/2021
Bjumper Lab,1.84,12/8/2021
Bjumper Lab,1.84,12/9/2021
Bjumper Lab,1.83,12/10/2021
Bjumper Lab,1.82,12/11/2021
Bjumper Lab,1.84,12/12/2021
Bjumper Lab,1.83,12/13/2021
Bjumper Lab,1.81,12/14/2021
Bjumper Lab,1.85,12/15/2021
Bjumper Lab,1.84,12/16/2021
Bjumper Lab,1.86,12/17/2021
Bjumper Lab,1.82,12/18/2021
Bjumper Lab,1.76,12/19/2021
Bjumper Lab,1.75,12/20/2021
Bjumper Lab,1.78,12/21/2021
Bjumper Lab,1.72,12/22/2021
